Sentence,label
"अरे, उसने उसे खरीदा था?",0
मैंने सोचा था कि आपने कहा था कि आप इसे हाई स्कूल में पढ़ते थे।,0
किसके लिए?,1
तुम-तुम एक है जो मुझे रोस को पार करने और आगे बढ़ने के लिए कह रहा है.,2
"फीब्स, यदि यह आदमी हमारे सभी पसंदीदा स्थानों को बंद करने के लिए जारी रहता है, हम कहाँ खाने जा रहे हैं?!",2
दो बार?,0
ओह मेरे भगवान. उसने फेंक दिया?,6
"मोनिका इस बात का सामना करता है, चंडलर विवाह के खिलाफ है. और-और हमेशा हो जाएगा!",0
हाय,0
हाँ! नहीं कि मैं सोच रहा था क्या है।,0
कोई समस्या नहीं! मैं,1
"लगभग! लेकिन पहले, हमें शुरू करना है।",0
"मैं सिर्फ पिछले रात के लिए एक बार फिर धन्यवाद करना चाहता था, क्या एक महान पार्टी!",1
काटें! अद्भुत!,1
"मैं एक ब्रो सुखाने पर शॉउश रॉड छोड़ दिया है, आप नहीं लगता है कि अपने बेटे को लगता है कि यह आपकी है और भयावह रूप से травмित हो जाएगा?",1
एक तारीख़?,3
तो अब मुझे जाना है तो वह सोचेगा कि मैं उसे देखने के लिए पूरी तरह से ठीक हूँ!,1
आप क्या देखते हैं?,0
हे,0
कि है,0
"ओह, मैं यह नहीं देखना चाहता!",6
मैं अब कभी भी तुम्हें चुंबन नहीं कर सकता जब यह सब कर सकता है कि मैं अभी तुम्हें चुंबन नहीं कर सकता।,4
"हाँ, हम-हम कुछ जिम्मेदार महसूस करते हैं।",2
लड़के?,2
"ओह, बस बाहर hanging, uh, वेबसाइटों के बारे में बात कर रहे हैं.",0
"हाँ, मैं बस, मैं बस एक सम्मेलन के लिए शहर में हूँ. हं,",0
"तुम्हें क्या पता है, प्रतीक्षा करो, मुझे चंडलर ले जाना है।",0
"नमस्ते. अच्छी तरह से, जोशुअ, कि $500 कि सामान के लिए था.",0
"तो, क्या लगता है जॉर्ज की तरह है?",0
"ठीक है, और यह मजेदार क्लाउन है. मजेदार क्लाउन केवल उसके निद्रा के बाद के लिए है, अपने निद्रा से पहले नहीं है या वह सो नहीं जाएगा.",0
"अच्छा तो वह तलाक़ पाता है, यह रोस है!",0
"मोनिका, तुम्हारे पास कोई बिस्तर भी नहीं है, तुम फर्श पर एक गेंद में सोते हो!",2
तो उसे बॉबी से शादी करने के लिए मजबूर करना ऐसा करने के लिए जा रहा है?,4
क्या?!,3
"ठीक है, यह मेरा रोग है!",2
और ऐसी बातें कहें।,1
"ओह, मैं अपने डायपर जेनी में फेंक सकता हूँ?",4
ओह-हे-ओह-ओह-तुम्हे वहाँ क्या मिलता है? यह क्या है? पी?,3
"हं, सुनो, मुझे लगता है कि आपको कुछ पता होना चाहिए।",0
"बहुत पुरानी, 30 की तरह।",0
क्या आप और मैं उस विषय को शामिल नहीं किया है?,0
